Auteur;Titel;Journal;Jaar;Volume;Issue;Pages;Abstract;DOI
"Z. Jiao; J. W. Choi; K. Halsey; T. M. L. Tran; B. Hsieh; D. Wang; F. Eweje; R. Wang; K. Chang; J. Wu; S. A. Collins; T. Y. Yi; A. T. Delworth; T. Liu; T. T. Healey; S. Lu; J. Wang; X. Feng; M. K. Atalay; L. Yang; M. Feldman; P. J. L. Zhang; W. H. Liao; Y. Fan; H. X. Bai";Prognostication of patients with COVID-19 using artificial intelligence based on chest x-rays and clinical data: a retrospective study;Lancet Digit Health;2021;3;5;e286–e294;"BACKGROUND: Chest x-ray is a relatively accessible, inexpensive, fast imaging modality that might be valuable in the prognostication of patients with COVID-19. We aimed to develop and evaluate an artificial intelligence system using chest x-rays and clinical data to predict disease severity and progression in patients with COVID-19. METHODS: We did a retrospective study in multiple hospitals in the University of Pennsylvania Health System in Philadelphia, PA, USA, and Brown University affiliated hospitals in Providence, RI, USA. Patients who presented to a hospital in the University of Pennsylvania Health System via the emergency department, with a diagnosis of COVID-19 confirmed by RT-PCR and with an available chest x-ray from their initial presentation or admission, were retrospectively identified and randomly divided into training, validation, and test sets (7:1:2). Using the chest x-rays as input to an EfficientNet deep neural network and clinical data, models were trained to predict the binary outcome of disease severity (ie, critical or non-critical). The deep-learning features extracted from the model and clinical data were used to build time-to-event models to predict the risk of disease progression. The models were externally tested on patients who presented to an independent multicentre institution, Brown University affiliated hospitals, and compared with severity scores provided by radiologists. FINDINGS: 1834 patients who presented via the University of Pennsylvania Health System between March 9 and July 20, 2020, were identified and assigned to the model training (n=1285), validation (n=183), or testing (n=366) sets. 475 patients who presented via the Brown University affiliated hospitals between March 1 and July 18, 2020, were identified for external testing of the models. When chest x-rays were added to clinical data for severity prediction, area under the receiver operating characteristic curve (ROC-AUC) increased from 0·821 (95% CI 0·796-0·828) to 0·846 (0·815-0·852; p<0·0001) on internal testing and 0·731 (0·712-0·738) to 0·792 (0·780-0 ·803; p<0·0001) on external testing. When deep-learning features were added to clinical data for progression prediction, the concordance index (C-index) increased from 0·769 (0·755-0·786) to 0·805 (0·800-0·820; p<0·0001) on internal testing and 0·707 (0·695-0·729) to 0·752 (0·739-0·764; p<0·0001) on external testing. The image and clinical data combined model had significantly better prognostic performance than combined severity scores and clinical data on internal testing (C-index 0·805 vs 0·781; p=0·0002) and external testing (C-index 0·752 vs 0·715; p<0·0001). INTERPRETATION: In patients with COVID-19, artificial intelligence based on chest x-rays had better prognostic performance than clinical data or radiologist-derived severity scores. Using artificial intelligence, chest x-rays can augment clinical data in predicting the risk of progression to critical illness in patients with COVID-19. FUNDING: Brown University, Amazon Web Services Diagnostic Development Initiative, Radiological Society of North America, National Cancer Institute and National Institute of Biomedical Imaging and Bioengineering of the National Institutes of Health.";10.1016/s2589-7500(21)00039-x
"Abe Bohan Hou; Hongru Du; Yichen Wang; Jingyu Zhang; Zixiao Wang; Paul Pu Liang; Daniel Khashabi; Lauren Gardner; Tianxing He";Can A Society of Generative Agents Simulate Human Behavior and Inform Public Health Policy? A Case Study on Vaccine Hesitancy;arXiv preprint arXiv:2503.09639;2025;;;;;
"O. Holmström; S. Stenman; A. Suutala; H. Moilanen; H. Kücükel; B. Ngasala; A. Mårtensson; L. Mhamilawa; B. Aydin-Schmidt; M. Lundin; V. Diwan; N. Linder; J. Lundin";A novel deep learning-based point-of-care diagnostic method for detecting Plasmodium falciparum with fluorescence digital microscopy;PLoS One;2020;15;11;e0242355;BACKGROUND: Malaria remains a major global health problem with a need for improved field-usable diagnostic tests. We have developed a portable, low-cost digital microscope scanner, capable of both brightfield and fluorescence imaging. Here, we used the instrument to digitize blood smears, and applied deep learning (DL) algorithms to detect Plasmodium falciparum parasites. METHODS: Thin blood smears (n = 125) were collected from patients with microscopy-confirmed P. falciparum infections in rural Tanzania, prior to and after initiation of artemisinin-based combination therapy. The samples were stained using the 4',6-diamidino-2-phenylindole fluorogen and digitized using the prototype microscope scanner. Two DL algorithms were trained to detect malaria parasites in the samples, and results compared to the visual assessment of both the digitized samples, and the Giemsa-stained thick smears. RESULTS: Detection of P. falciparum parasites in the digitized thin blood smears was possible both by visual assessment and by DL-based analysis with a strong correlation in results (r = 0.99, p < 0.01). A moderately strong correlation was observed between the DL-based thin smear analysis and the visual thick smear-analysis (r = 0.74, p < 0.01). Low levels of parasites were detected by DL-based analysis on day three following treatment initiation, but a small number of fluorescent signals were detected also in microscopy-negative samples. CONCLUSION: Quantification of P. falciparum parasites in DAPI-stained thin smears is feasible using DL-supported, point-of-care digital microscopy, with a high correlation to visual assessment of samples. Fluorescent signals from artefacts in samples with low infection levels represented the main challenge for the digital analysis, thus highlighting the importance of minimizing sample contaminations. The proposed method could support malaria diagnostics and monitoring of treatment response through automated quantification of parasitaemia and is likely to be applicable also for diagnostics of other Plasmodium species and other infectious diseases.;10.1371/journal.pone.0242355
"Lucinda Gullison; Feng Fu";Working with Large Language Models to Enhance Messaging Effectiveness for Vaccine Confidence;arXiv preprint arXiv:2504.09857;2025;;;;;
"K. H. Goh; L. Wang; A. Y. K. Yeow; H. Poh; K. Li; J. J. L. Yeow; G. Y. H. Tan";Artificial intelligence in sepsis early prediction and diagnosis using unstructured data in healthcare;Nat Commun;2021;12;1;711;Sepsis is a leading cause of death in hospitals. Early prediction and diagnosis of sepsis, which is critical in reducing mortality, is challenging as many of its signs and symptoms are similar to other less critical conditions. We develop an artificial intelligence algorithm, SERA algorithm, which uses both structured data and unstructured clinical notes to predict and diagnose sepsis. We test this algorithm with independent, clinical notes and achieve high predictive accuracy 12 hours before the onset of sepsis (AUC 0.94, sensitivity 0.87 and specificity 0.87). We compare the SERA algorithm against physician predictions and show the algorithm's potential to increase the early detection of sepsis by up to 32% and reduce false positives by up to 17%. Mining unstructured clinical notes is shown to improve the algorithm's accuracy compared to using only clinical measures for early warning 12 to 48 hours before the onset of sepsis.;10.1038/s41467-021-20910-4
"Q. Cheong; M. Au-Yeung; S. Quon; K. Concepcion; J. D. Kong";Predictive Modeling of Vaccination Uptake in US Counties: A Machine Learning-Based Approach;J Med Internet Res;2021;23;11;e33231;BACKGROUND: Although the COVID-19 pandemic has left an unprecedented impact worldwide, countries such as the United States have reported the most substantial incidence of COVID-19 cases worldwide. Within the United States, various sociodemographic factors have played a role in the creation of regional disparities. Regional disparities have resulted in the unequal spread of disease between US counties, underscoring the need for efficient and accurate predictive modeling strategies to inform public health officials and reduce the burden on health care systems. Furthermore, despite the widespread accessibility of COVID-19 vaccines across the United States, vaccination rates have become stagnant, necessitating predictive modeling to identify important factors impacting vaccination uptake. OBJECTIVE: This study aims to determine the association between sociodemographic factors and vaccine uptake across counties in the United States. METHODS: Sociodemographic data on fully vaccinated and unvaccinated individuals were sourced from several online databases such as the US Centers for Disease Control and Prevention and the US Census Bureau COVID-19 Site. Machine learning analysis was performed using XGBoost and sociodemographic data. RESULTS: Our model predicted COVID-19 vaccination uptake across US counties with 62% accuracy. In addition, it identified location, education, ethnicity, income, and household access to the internet as the most critical sociodemographic features in predicting vaccination uptake in US counties. Lastly, the model produced a choropleth demonstrating areas of low and high vaccination rates, which can be used by health care authorities in future pandemics to visualize and prioritize areas of low vaccination and design targeted vaccination campaigns. CONCLUSIONS: Our study reveals that sociodemographic characteristics are predictors of vaccine uptake rates across counties in the United States and, if leveraged appropriately, can assist policy makers and public health officials to understand vaccine uptake rates and craft policies to improve them.;10.2196/33231
"M. Müller; M. Salathé; P. E. Kummervold";COVID-Twitter-BERT: A natural language processing model to analyse COVID-19 content on Twitter;Front Artif Intell;2023;6;;1023281;INTRODUCTION: This study presents COVID-Twitter-BERT (CT-BERT), a transformer-based model that is pre-trained on a large corpus of COVID-19 related Twitter messages. CT-BERT is specifically designed to be used on COVID-19 content, particularly from social media, and can be utilized for various natural language processing tasks such as classification, question-answering, and chatbots. This paper aims to evaluate the performance of CT-BERT on different classification datasets and compare it with BERT-LARGE, its base model. METHODS: The study utilizes CT-BERT, which is pre-trained on a large corpus of COVID-19 related Twitter messages. The authors evaluated the performance of CT-BERT on five different classification datasets, including one in the target domain. The model's performance is compared to its base model, BERT-LARGE, to measure the marginal improvement. The authors also provide detailed information on the training process and the technical specifications of the model. RESULTS: The results indicate that CT-BERT outperforms BERT-LARGE with a marginal improvement of 10-30% on all five classification datasets. The largest improvements are observed in the target domain. The authors provide detailed performance metrics and discuss the significance of these results. DISCUSSION: The study demonstrates the potential of pre-trained transformer models, such as CT-BERT, for COVID-19 related natural language processing tasks. The results indicate that CT-BERT can improve the classification performance on COVID-19 related content, especially on social media. These findings have important implications for various applications, such as monitoring public sentiment and developing chatbots to provide COVID-19 related information. The study also highlights the importance of using domain-specific pre-trained models for specific natural language processing tasks. Overall, this work provides a valuable contribution to the development of COVID-19 related NLP models.;10.3389/frai.2023.1023281
"K. Hayawi; S. Shahriar; M. A. Serhani; I. Taleb; S. S. Mathew";ANTi-Vax: a novel Twitter dataset for COVID-19 vaccine misinformation detection;Public Health;2022;203;;23–30;OBJECTIVES: COVID-19 (SARS-CoV-2) pandemic has infected hundreds of millions and inflicted millions of deaths around the globe. Fortunately, the introduction of COVID-19 vaccines provided a glimmer of hope and a pathway to recovery. However, owing to misinformation being spread on social media and other platforms, there has been a rise in vaccine hesitancy which can lead to a negative impact on vaccine uptake in the population. The goal of this research is to introduce a novel machine learning-based COVID-19 vaccine misinformation detection framework. STUDY DESIGN: We collected and annotated COVID-19 vaccine tweets and trained machine learning algorithms to classify vaccine misinformation. METHODS: More than 15,000 tweets were annotated as misinformation or general vaccine tweets using reliable sources and validated by medical experts. The classification models explored were XGBoost, LSTM, and BERT transformer model. RESULTS: The best classification performance was obtained using BERT, resulting in 0.98 F1-score on the test set. The precision and recall scores were 0.97 and 0.98, respectively. CONCLUSION: Machine learning-based models are effective in detecting misinformation regarding COVID-19 vaccines on social media platforms.;10.1016/j.puhe.2021.11.022
"J. Ayoub; X. J. Yang; F. Zhou";Combat COVID-19 infodemic using explainable natural language processing models;Inf Process Manag;2021;58;4;102569;"Misinformation of COVID-19 is prevalent on social media as the pandemic unfolds, and the associated risks are extremely high. Thus, it is critical to detect and combat such misinformation. Recently, deep learning models using natural language processing techniques, such as BERT (Bidirectional Encoder Representations from Transformers), have achieved great successes in detecting misinformation. In this paper, we proposed an explainable natural language processing model based on DistilBERT and SHAP (Shapley Additive exPlanations) to combat misinformation about COVID-19 due to their efficiency and effectiveness. First, we collected a dataset of 984 claims about COVID-19 with fact-checking. By augmenting the data using back-translation, we doubled the sample size of the dataset and the DistilBERT model was able to obtain good performance (accuracy: 0.972; areas under the curve: 0.993) in detecting misinformation about COVID-19. Our model was also tested on a larger dataset for AAAI2021 - COVID-19 Fake News Detection Shared Task and obtained good performance (accuracy: 0.938; areas under the curve: 0.985). The performance on both datasets was better than traditional machine learning models. Second, in order to boost public trust in model prediction, we employed SHAP to improve model explainability, which was further evaluated using a between-subjects experiment with three conditions, i.e., text (T), text+SHAP explanation (TSE), and text+SHAP explanation+source and evidence (TSESE). The participants were significantly more likely to trust and share information related to COVID-19 in the TSE and TSESE conditions than in the T condition. Our results provided good implications for detecting misinformation about COVID-19 and improving public trust.";10.1016/j.ipm.2021.102569
"Jiamin Yin; K. Ngiam; H. Teo";Role of Artificial Intelligence Applications in Real-Life Clinical Practice: Systematic Review;Journal of Medical Internet Research;2020;23;;;;10.2196/25759
"Zahra Sadeghi; R. Alizadehsani; Mehmet Akif Cifci; Samina Kausar; Rizwan Rehman; P. Mahanta; P. Bora; Ammar Almasri; Rami Suleiman Alkhawaldeh; Sadiq Hussain; Bilal Alatas; A. Shoeibi; H. Moosaei; Milan Hladík; Saeid Nahavandi; P. Pardalos";A review of Explainable Artificial Intelligence in healthcare;Comput. Electr. Eng.;2024;118;;109370;;10.1016/j.compeleceng.2024.109370
"Maleeha Naseem; Ramsha Akhund; Hajra Arshad; Muhammad Talal Ibrahim";Exploring the Potential of Artificial Intelligence and Machine Learning to Combat COVID-19 and Existing Opportunities for LMIC: A Scoping Review;Journal of Primary Care & Community Health;2020;11;;;;10.1177/2150132720963634
"A. Zahlan; Ravi Ranjan; David Hayes";Artificial intelligence innovation in healthcare: Literature review, exploratory analysis, and future research;Technology in Society;2023;;;;;10.1016/j.techsoc.2023.102321
"Varisha Zuhair; Areesha Babar; Rabbiya Ali; M. Oduoye; Zainab Noor; Kitumaini Chris; I. Okon; Latif Ur Rehman";Exploring the Impact of Artificial Intelligence on Global Health and Enhancing Healthcare in Developing Nations;Journal of Primary Care & Community Health;2024;15;;;;10.1177/21501319241245847
"Lemuel Non; Alexandre Marra; Dilek Ince";Rise of the Machines - Artificial Intelligence in Healthcare Epidemiology;Current Infectious Disease Reports;2024;27;;;;10.1007/s11908-024-00854-8
"A. Shmatko; A. W. Jung; K. Gaurav; S. Brunak; L. Mortensen; E. Birney; T. Fitzgerald; M. Gerstung";Learning the natural history of human disease with generative transformers;;2024;;"(Shmatko A.; Gerstung M., moritz.gerstung@dkfz.de) Division of AI in Oncology, German Cancer Research Centre DKFZ, Heidelberg, Germany";;Decision-making in healthcare relies on the ability to understand patients’ past and current health state to predict, and ultimately change, their future course. Artificial intelligence (AI) methods promise to aid this task by learning patterns of disease progression from large corpora of health records to predict detailed outcomes for an individual. However, the potential of AI has not yet been fully investigated at scale. Here, we modify the GPT (generative pretrained transformer) architecture to model the temporal progression and competing nature of human diseases in a population scale cohort. We train this model, termed Delphi-2M, on data from 0.4 million participants of the UK Biobank and validate it using external data from 1.9 million Danish individuals with no change in parameters. Delphi-2M predicts the rates of more than 1,000 different ICD-10 coded diseases and death, conditional on each individual's past disease history, age, sex and baseline lifestyle information, and with accuracy comparable to existing single-disease models. Delphi-2M’s generative nature also enables sampling future health trajectories at any point within an individual’s life course with outcomes across the entire disease spectrum. Sampled health trajectories provide meaningful estimates of future disease burden for up to 20 years and enable training AI models which have never seen actual data. Explainable AI methods provide insights into Delphi-2M’s predictions, revealing temporal clusters of co-morbidities within and across different disease chapters and their time-dependent consequences on the future health course. These analyses, however, also reveal that biases underlying the available training data, which in the case of the UK Biobank stem from distinct healthcare sources, are learned and highlighted. In summary, GPT-based models appear well suited for predictive and generative health-related tasks, are applicable to population scale health data sets and provide insights into the temporal dependencies of past events that shape future health, impacting our ability to obtain an instantaneous view of personalised health state.;10.1101/2024.06.07.24308553
"A. Syrowatka; M. Kuznetsova; A. Alsubai; A. L. Beckman; P. A. Bain; K. J. T. Craig; J. Hu; G. P. Jackson; K. Rhee; D. W. Bates";Leveraging artificial intelligence for pandemic preparedness and response: a scoping review to identify key use cases;NPJ Digit Med;2021;4;1;96;"Artificial intelligence (AI) represents a valuable tool that could be widely used to inform clinical and public health decision-making to effectively manage the impacts of a pandemic. The objective of this scoping review was to identify the key use cases for involving AI for pandemic preparedness and response from the peer-reviewed, preprint, and grey literature. The data synthesis had two parts: an in-depth review of studies that leveraged machine learning (ML) techniques and a limited review of studies that applied traditional modeling approaches. ML applications from the in-depth review were categorized into use cases related to public health and clinical practice, and narratively synthesized. One hundred eighty-three articles met the inclusion criteria for the in-depth review. Six key use cases were identified: forecasting infectious disease dynamics and effects of interventions; surveillance and outbreak detection; real-time monitoring of adherence to public health recommendations; real-time detection of influenza-like illness; triage and timely diagnosis of infections; and prognosis of illness and response to treatment. Data sources and types of ML that were useful varied by use case. The search identified 1167 articles that reported on traditional modeling approaches, which highlighted additional areas where ML could be leveraged for improving the accuracy of estimations or projections. Important ML-based solutions have been developed in response to pandemics, and particularly for COVID-19 but few were optimized for practical application early in the pandemic. These findings can support policymakers, clinicians, and other stakeholders in prioritizing research and development to support operationalization of AI for future pandemics.";10.1038/s41746-021-00459-8
"Md Moradul Siddique; Md Masrafi Bin Seraj; Md Nasim Adnan; Syed Md Galib";Artificial Intelligence for Infectious Disease Detection: Prospects and Challenges;Surveillance, Prevention, and Control of Infectious Diseases: An AI Perspective;2024;;;1–22;The emergence of Artificial Intelligence (AI) as a transformative force in healthcare has sparked a growing interest in its application to infectious disease detection. The study provides an insightful overview of the promising prospects and intricate challenges associated with harnessing AI’s capabilities for the early identification and effective management of infectious diseases. Infectious diseases remain a pressing global concern, often necessitating rapid and accurate detection to mitigate their impact. The integration of AI offers a paradigm shift in disease surveillance, enabling the real-time analysis of diverse data streams encompassing clinical records, genomic sequences, social media trends, and environmental factors. Through intricate pattern recognition and predictive modeling, AI holds the potential to expedite outbreak identification, trace transmission pathways, and forecast disease dynamics, facilitating proactive public health interventions. Nevertheless, the voyage towards seamless AI-driven infectious disease detection is accompanied by multifaceted challenges. Data heterogeneity, availability, and quality emerge as foundational obstacles, demanding comprehensive strategies for data aggregation, curation, and sharing. Furthermore, the deployment of AI models mandates a balance between complexity and interpretability, necessitating the development of algorithms that not only excel in performance but also afford clear insights into decision-making processes. Ethical dimensions also loom large in this landscape, with privacy concerns and algorithmic biases necessitating careful consideration. The quest for equitable AI-driven detection mandates the navigation of ethical frameworks that prioritize patient confidentiality, informed consent, and the mitigation of algorithmic biases that may disproportionately impact marginalized populations.;10.1007/978-3-031-59967-5_1
"F. Giuste; W. Shi; Y. Zhu; T. Naren; M. Isgut; Y. Sha; L. Tong; M. Gupte; M. D. Wang";Explainable Artificial Intelligence Methods in Combating Pandemics: A Systematic Review;IEEE Rev Biomed Eng;2023;16;;5–21;Despite the myriad peer-reviewed papers demonstrating novel Artificial Intelligence (AI)-based solutions to COVID-19 challenges during the pandemic, few have made a significant clinical impact, especially in diagnosis and disease precision staging. One major cause for such low impact is the lack of model transparency, significantly limiting the AI adoption in real clinical practice. To solve this problem, AI models need to be explained to users. Thus, we have conducted a comprehensive study of Explainable Artificial Intelligence (XAI) using PRISMA technology. Our findings suggest that XAI can improve model performance, instill trust in the users, and assist users in decision-making. In this systematic review, we introduce common XAI techniques and their utility with specific examples of their application. We discuss the evaluation of XAI results because it is an important step for maximizing the value of AI-based clinical decision support systems. Additionally, we present the traditional, modern, and advanced XAI models to demonstrate the evolution of novel techniques. Finally, we provide a best practice guideline that developers can refer to during the model experimentation. We also offer potential solutions with specific examples for common challenges in AI model experimentation. This comprehensive review, hopefully, can promote AI adoption in biomedicine and healthcare.;10.1109/rbme.2022.3185953
"A. Scardoni; F. Balzarini; C. Signorelli; F. Cabitza; A. Odone";Artificial intelligence-based tools to control healthcare associated infections: A systematic review of the literature;Journal of infection and public health;2020;;;;;10.1016/j.jiph.2020.06.006
"B. Ru; S. Kujawski; N. Lee Afanador; R. Baumgartner; M. Pawaskar; A. Das";Predicting Measles Outbreaks in the United States: Evaluation of Machine Learning Approaches;JMIR Form Res;2023;7;;e42832;"BACKGROUND: Measles, a highly contagious viral infection, is resurging in the United States, driven by international importation and declining domestic vaccination coverage. Despite this resurgence, measles outbreaks are still rare events that are difficult to predict. Improved methods to predict outbreaks at the county level would facilitate the optimal allocation of public health resources. OBJECTIVE: We aimed to validate and compare extreme gradient boosting (XGBoost) and logistic regression, 2 supervised learning approaches, to predict the US counties most likely to experience measles cases. We also aimed to assess the performance of hybrid versions of these models that incorporated additional predictors generated by 2 clustering algorithms, hierarchical density-based spatial clustering of applications with noise (HDBSCAN) and unsupervised random forest (uRF). METHODS: We constructed a supervised machine learning model based on XGBoost and unsupervised models based on HDBSCAN and uRF. The unsupervised models were used to investigate clustering patterns among counties with measles outbreaks; these clustering data were also incorporated into hybrid XGBoost models as additional input variables. The machine learning models were then compared to logistic regression models with and without input from the unsupervised models. RESULTS: Both HDBSCAN and uRF identified clusters that included a high percentage of counties with measles outbreaks. XGBoost and XGBoost hybrid models outperformed logistic regression and logistic regression hybrid models, with the area under the receiver operating curve values of 0.920-0.926 versus 0.900-0.908, the area under the precision-recall curve values of 0.522-0.532 versus 0.485-0.513, and F(2) scores of 0.595-0.601 versus 0.385-0.426. Logistic regression or logistic regression hybrid models had higher sensitivity than XGBoost or XGBoost hybrid models (0.837-0.857 vs 0.704-0.735) but a lower positive predictive value (0.122-0.141 vs 0.340-0.367) and specificity (0.793-0.821 vs 0.952-0.958). The hybrid versions of the logistic regression and XGBoost models had slightly higher areas under the precision-recall curve, specificity, and positive predictive values than the respective models that did not include any unsupervised features. CONCLUSIONS: XGBoost provided more accurate predictions of measles cases at the county level compared with logistic regression. The threshold of prediction in this model can be adjusted to align with each county's resources, priorities, and risk for measles. While clustering pattern data from unsupervised machine learning approaches improved some aspects of model performance in this imbalanced data set, the optimal approach for the integration of such approaches with supervised machine learning models requires further investigation.";10.2196/42832
"Sunday Adeola Ajagbe; Matthew O Adigun";Deep learning techniques for detection and prediction of pandemic diseases: a systematic literature review;Multimedia Tools and Applications;2024;83;2;5893–5927;;
"Temitope Ayemoro; Toheeb Ekundayo";AI-driven risk stratification for targeted public health interventions;;2024;;;;;
"Lauretta Omale; Victor Ibiam; Lasisi Sidikat; Oladimeji Taiwo";Transformative applications of Artificial Intelligence in infectious disease forecasting and public health decision support systems;World Journal of Advanced Research and Reviews;2025;25;;2250–2258;;10.30574/wjarr.2025.25.3.1002
;Using Explainable AI Risk Predictions to Nudge Influenza Vaccine Uptake;;2021;;;;The study team previously demonstrated that patients are more likely to receive flu vaccine after learning that they are at high risk for flu complications. Building on this past work, the present study will explore whether providing reasons that patients are considered high risk for flu complications (a) further increases the likelihood they will receive flu vaccine and (b) decreases the likelihood that they receive diagnoses of flu and/or flu-like symptoms in the ensuing flu season. It will also examine whether informing patients that their high-risk status was determined by analyzing their medical records or by an artificial intelligence (AI) / machine-learning (ML) algorithm analyzing their medical records will affect the likelihood of receiving the flu vaccine or diagnoses of flu and/or flu-like symptoms.;
E. J. Topol;High-performance medicine: the convergence of human and artificial intelligence;Nat Med;2019;25;1;44–56;"The use of artificial intelligence, and the deep-learning subtype in particular, has been enabled by the use of labeled big data, along with markedly enhanced computing power and cloud storage, across all sectors. In medicine, this is beginning to have an impact at three levels: for clinicians, predominantly via rapid, accurate image interpretation; for health systems, by improving workflow and the potential for reducing medical errors; and for patients, by enabling them to process their own data to promote health. The current limitations, including bias, privacy and security, and lack of transparency, along with the future directions of these applications will be discussed in this article. Over time, marked improvements in accuracy, productivity, and workflow will likely be actualized, but whether that will be used to improve the patient-doctor relationship or facilitate its erosion remains to be seen.";10.1038/s41591-018-0300-7
"J. Y. Kim; Y. A. Kang; J. H. Park; H. H. Cha; N. Y. Jeon; S. W. Lee; S. O. Lee; S. H. Choi; Y. S. Kim; J. H. Woo; S. H. Kim";An IFN-? and TNF-? dual release fluorospot assay for diagnosing active tuberculosis;Clin Microbiol Infect;2020;26;7;928–934;OBJECTIVES: Currently available interferon (IFN)-?-release assays (IGRA) cannot discriminate active tuberculosis (TB) from latent TB infection (LTBI), and so have limited clinical utility for diagnosing active TB. Since numbers of tumour necrosis factor (TNF)-?-producing T cells are highly correlated with active TB, we hypothesized that detecting IFN-?- and/or TNF-?-producing T cells would overcome this limitation of IGRA. This study evaluated the diagnostic performances of the IFN-? and TNF-? dual release fluorospot assay for active TB. METHODS: Adult patients with suspected TB including recent TB exposers were prospectively enrolled over a 28-month period. In addition to the conventional IGRA test (i.e. QuantiFERON-In-Tube), a fluorospot assay for detecting IFN-?- and TNF-?-producing T cells was performed. The final diagnoses were classified by clinical category. Patients with confirmed or probable TB were regarded as active TB, and patients with not active TB were further classified as having not active TB with and without LTBI, based on the QuantiFERON-In-Tube results. RESULTS: A total of 153 patients including 45 with active TB and 108 with not active TB (38 LTBI vs. 70 not LTBI) were finally analysed. The sensitivity and specificity of the QuantiFERON-In-Tube assay for active TB were 84% (95% confidence interval (CI), 70-93) and 70% (95% CI 61-79), respectively. The IFN-?/TNF-? dual release assay by fluorospot had substantially higher diagnostic specificity (94%) for diagnosing active TB than the IFN-? single release assay (72%, p < 0.001), without compromising sensitivity (84% vs. 89%, p 0.79). CONCLUSIONS: The fluorospot-based IFN-?/TNF-? dual release assay appears to be a simple and useful test for diagnosing active TB.;10.1016/j.cmi.2019.11.003
"Raul Cruz Cano; Hao He; Samyam Aryal; Megnath Dhimal; Dang Thi Anh Thu; Linus Zhang; Tianzhou Ma; Xin-Zhong Liang; Raghu Murtugudde; Chuansi Gao; Ayushi Sharma; Gerry Andhikaputra; Yu-Chun Wang; Amir Sapkota";A prototype early warning system for diarrhoeal disease to combat health threats of climate change in the asia-pacific region;Environmental Research Letters;2024;19;11;114094;Ongoing climate variability and change are increasing the burden of diarrhoeal disease worldwide. Meaningful early warning systems with adequate lead times (weeks to months) are needed to guide public health decision–making and enhance community resilience against health threats posed by climate change. Toward this goal, we trained various machine-learning models to predict diarrhoeal disease rates in Nepal (2002–2014), Taiwan (2008–2019), and Vietnam (2000–2015) using temperature, precipitation, previous disease rates, and El Niño Southern Oscillation phases. We also compared the performance of shallow time-series neural network (NN), Random Forest Regressor, artificial nn, gradient boosting regressor, and long short-term memory–based methods for their effectiveness in predicting diarrhoeal disease burden across multiple countries. We evaluated model performance using a test dataset and assessed the accuracy of predicted diarrhoeal disease incidence rates for the last year of available data in each district. Our results suggest that even in the absence of the most recent disease surveillance data, a likely scenario in most low- and middle-income countries, our NN-based early warning system using historical data performs reasonably well. However, future studies are needed to perform prospective evaluations of such early warning systems in real-world settings.;10.1088/1748-9326/ad8366
"Zhi Zhen Qin; Shahriar Ahmed; Mohammad Shahnewaz Sarker; Kishor Paul; Ahammad Shafiq Sikder Adel; Tasneem Naheyan; Rachael Barrett; Sayera Banu; Jacob Creswell";Can artificial intelligence (AI) be used to accurately detect tuberculosis (TB) from chest X-rays? An evaluation of five AI products for TB screening and triaging in a high TB burden setting;arXiv preprint arXiv:2006.05509;2020;;;;;
"Yuejuan Zhan; Yuqi Wang; Wendi Zhang; Binwu Ying; Chengdi Wang";Diagnostic Accuracy of the Artificial Intelligence Methods in Medical Imaging for Pulmonary Tuberculosis: A Systematic Review and Meta-Analysis;Journal of Clinical Medicine;2023;12;1;303;;
"J. Ginsberg; M. H. Mohebbi; R. S. Patel; L. Brammer; M. S. Smolinski; L. Brilliant";Detecting influenza epidemics using search engine query data;Nature;2009;457;7232;1012–4;Seasonal influenza epidemics are a major public health concern, causing tens of millions of respiratory illnesses and 250,000 to 500,000 deaths worldwide each year. In addition to seasonal influenza, a new strain of influenza virus against which no previous immunity exists and that demonstrates human-to-human transmission could result in a pandemic with millions of fatalities. Early detection of disease activity, when followed by a rapid response, can reduce the impact of both seasonal and pandemic influenza. One way to improve early detection is to monitor health-seeking behaviour in the form of queries to online search engines, which are submitted by millions of users around the world each day. Here we present a method of analysing large numbers of Google search queries to track influenza-like illness in a population. Because the relative frequency of certain queries is highly correlated with the percentage of physician visits in which a patient presents with influenza-like symptoms, we can accurately estimate the current level of weekly influenza activity in each region of the United States, with a reporting lag of about one day. This approach may make it possible to use search queries to detect influenza epidemics in areas with a large population of web search users.;10.1038/nature07634
